pdb_id,Hchain,Lchain,model,antigen_chain,antigen_type,antigen_het_name,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,resolution,method,r_free,r_factor,scfv,engineered,heavy_subclass,light_subclass,light_ctype,affinity,delta_g,affinity_method,temperature,pmid
8e6j,E,I,0,B,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,3H03 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",2.7,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6j,F,J,0,C,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,3H03 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",2.7,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6j,G,K,0,D,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,3H03 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",2.7,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6k,H,L,0,A,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,2H08 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6k,E,I,0,B,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,2H08 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6k,F,J,0,C,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,2H08 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8e6k,G,K,0,D,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,2H08 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
8h0p,E,e,0,A | B,protein | protein,NA | NA,g-alpha q | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,MEMBRANE PROTEIN,08/09/23,Structure of the NMB30-NMBR and Gq complex,Homo sapiens; Mus musculus; SYNTHETIC CONSTRUCT,mus musculus,,homo sapiens | homo sapiens,"Li, C., Xu, Y., Liu, H., Cai, H., Xu, H.E., Yin, W.",3.15,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
8h0q,E,e,0,A | B,protein | protein,NA | NA,g-alpha q | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,MEMBRANE PROTEIN,08/09/23,Structure of the GRP14-27-GRPR-Gq complex,Homo sapiens; Mus musculus; SYNTHETIC CONSTRUCT,mus musculus,,homo sapiens | homo sapiens,"Li, C., Xu, Y., Liu, H., Cai, H., Xu, H.E., Yin, W.",3.3,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
8pm2,N,,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,MEMBRANE PROTEIN,08/09/23,"Structure of the murine trace amine-associated receptor TAAR7f bound to N,N-dimethylcyclohexylamine (DMCH) in complex with mini-Gs trimeric G protein",Homo sapiens; Lama glama; Mus musculus,lama glama,,homo sapiens | homo sapiens,"Gusach, A., Lee, Y., Edwards, P.C., Huang, F., Weyand, S.N., Tate, C.G.",2.92,ELECTRON MICROSCOPY,,,False,True,IGHV3,,,,,,,
7trh,H,B,0,G,protein,,hemagglutinin,IMMUNE SYSTEM/VIRAL PROTEIN,08/02/23,Human antibody K03.28 in complex with the influenza hemagglutinin head domain of A/California/07/2009(H1N1)(X-181),Homo sapiens; Influenza A virus,homo sapiens,homo sapiens,influenza a virus,"McCarthy, K.R.",3.0,X-RAY DIFFRACTION,0.242,0.202,False,True,IGHV3,IGLV3,Lambda,,,,,
7tri,Z,Y,0,B,protein,,hemagglutinin,IMMUNE SYSTEM/VIRAL PROTEIN,08/02/23,Human antibody S8V1-172 in complex with the influenza hemagglutinin head domain of A/Sydney/05/1997(H3N2),Homo sapiens; Influenza A virus (A/Sydney/5/1997(H3N2)),homo sapiens,homo sapiens,influenza a virus (a/sydney/5/1997(h3n2)),"McCarthy, K.R.",3.6,X-RAY DIFFRACTION,0.268,0.233,False,True,IGHV4,IGKV3,Kappa,,,,,
7y71,O,P,0,A | C,protein | protein,NA | NA,spike glycoprotein | spike glycoprotein,VIRAL PROTEIN,08/02/23,SARS-CoV-2 spike glycoprotein trimer complexed with Fab fragment of anti-RBD antibody E7,Homo sapiens,homo sapiens,homo sapiens,homo sapiens | homo sapiens,"Chia, W.N., Tan, C.W., Tan, A.W.K., Young, B., Starr, T.N., Lopez, E., Fibriansah, G., Barr, J., Cheng, S., Yeoh, A.Y.Y., Yap, W.C., Lim, B.L., Ng, T.S., Sia, W.R., Zhu, F., Chen, S., Zhang, J., Greaney, A.J., Chen, M., Au, G.G., Paradkar, P., Peiris, M., Chung, A.W., Bloom, J.D., Lye, D., Lok, S.M., Wang, L.F.",3.12,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV2,Kappa,,,,,
8aon,B,C,0,A,protein,,unknown,IMMUNE SYSTEM,01/08/09,Oxidoreductase fragment of human QSOX1 in complex with a Fab fragment of a humanized anti-QSOX1 antibody,Homo sapiens,homo sapiens,homo sapiens,,"Khmelnitsky, L., Fass, D.",2.1,X-RAY DIFFRACTION,0.259,0.198,False,True,IGHV3,IGKV4,Kappa,,,,,
8c5h,N,,0,S,protein,,synaptotagmin-1,METAL BINDING PROTEIN,08/02/23,NbSyt1 anti-(rat Synaptotagmin-1) nanobody bound to target cytosolic domain of Synaptotagmin-1,Rattus norvegicus; Vicugna pacos,vicugna pacos,,rattus norvegicus,"Martinez-Carranza, M., Stenmark, P.",1.68,X-RAY DIFFRACTION,0.222,0.209,False,True,IGHV3,,,,,,,
8dpz,F,G,0,B,protein,,spike protein s1,VIRAL PROTEIN/Immune System,08/02/23,Local refinement of SARS-CoV-2 vaccine induced antibody DH1338 bound to SARS-CoV-2 HexaPro RBD Spike ectodomain,Macaca mulatta; Severe acute respiratory syndrome coronavirus 2,macaca mulatta,macaca mulatta,severe acute respiratory syndrome coronavirus2 ,"Stalls, V., May, A.J., Acharya, P.",3.38,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV3,Kappa,,,,,
8dtk,C,B,0,A,protein,,spike protein s1,Viral Protein/Immune System,08/02/23,Structure of RBD directed antibody DH1047 in complex with SARS-CoV-2 spike: Local refinement of RBD-Fab interace,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"May, A.J., Manne, K., Acharya, P.",3.77,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV4,Kappa,,,,,
8dyw,H,L,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,A,B,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,C,D,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,E,F,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,M,N,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,O,P,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,Q,R,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,S,T,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,U,V,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyw,W,X,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 239 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.72,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8dyx,H,L,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 311 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
8dyx,A,B,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 311 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
8dyx,C,D,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 311 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
8dyx,E,F,0,I,protein,,circumsporozoite protein,IMMUNE SYSTEM,08/02/23,Cryo-EM structure of 311 Fab in complex with recombinant shortened Plasmodium falciparum circumsporozoite protein (rsCSP),Homo sapiens; Plasmodium falciparum,homo sapiens,homo sapiens,plasmodium falciparum,"Martin, G.M., Ward, A.B.",3.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
